,id,name,type,description,human_readable_id,graph_embedding,text_unit_ids,description_embedding
38,b462b94ce47a4b8c8fffa33f7242acec,DISCOUNT CAPABILITY,"FEATURE, FUNCTIONALITY",The ability to apply discounts when calculating the initial margin across different maturities.,38,,['b7706f1ead07f17edd3b5dcb47a7fcad'],"[ 0.03940814  0.0259795   0.0307352  ... -0.00805718 -0.01460774
  0.01830225]"
39,17ed1d92075643579a712cc6c29e8ddb,COMMITMENT POSITION,"FINANCIAL POSITION, TRANSACTION","A commitment position refers to the open positions held by a trader in a specific symbol or across multiple symbols, which are subject to various restrictions.",39,,['85af99fbea29f5aa62157414d72e27d9'],"[ 0.01790812  0.00429062  0.04564863 ... -0.00904252 -0.00515001
 -0.00597464]"
40,3ce7c210a21b4deebad7cc9308148d86,INITIAL MARGIN,"FINANCIAL REQUIREMENT, CAPITAL","The initial margin is the amount of capital required to open a position in a financial market, which can vary by customer and symbol.",40,,['85af99fbea29f5aa62157414d72e27d9'],"[ 0.02144395  0.02494048  0.03255319 ...  0.00735822 -0.06245079
  0.02494048]"
41,d64ed762ea924caa95c8d06f072a9a96,DISCOUNTS,"FINANCIAL INCENTIVE, CALCULATION","Discounts are reductions applied to the initial margin calculations, which can vary based on different maturities of financial instruments.",41,,['85af99fbea29f5aa62157414d72e27d9'],"[ 0.00875738  0.04135492  0.07257092 ... -0.00421884 -0.03365939
  0.02171647]"
42,adf4ee3fbe9b4d0381044838c4f889c8,TRADING VOLUME,"FINANCIAL METRIC, ACTIVITY","Trading volume refers to the total number of shares or contracts traded in a specific period, which can be restricted based on buy and sell positions.",42,,['85af99fbea29f5aa62157414d72e27d9'],"[ 0.01195229 -0.00389156  0.0264081  ...  0.00215146  0.01851394
  0.02382382]"
43,32ee140946e5461f9275db664dc541a5,COMMODITY GROUP,"CATEGORY, MARKET","A commodity group is a classification of commodities that can be traded, which may have specific restrictions on trading activities.",43,,['85af99fbea29f5aa62157414d72e27d9'],"[-0.00904991 -0.00654031  0.05003807 ...  0.01192742 -0.02339357
 -0.0092476 ]"
44,c160b9cb27d6408ba6ab20214a2f3f81,ORDER REGISTRATION,"PROCESS, TRANSACTION","Order registration is the process of submitting an order to buy or sell a financial instrument, which has maximum and minimum volume restrictions.",44,,['85af99fbea29f5aa62157414d72e27d9'],"[ 0.00039298  0.02606021  0.01796472 ... -0.00830584  0.02951672
  0.02125067]"
45,23527cd679ff4d5a988d52e7cd056078,REGULATORY REQUIREMENTS,"LAW, POLICY",Regulatory requirements are legal standards that govern trading activities and dictate how brokers must operate.,45,,['ab9485075471db253a74760064417008'],"[-0.01005936  0.05473332  0.03475545 ... -0.00933348 -0.01464756
  0.03824399]"
46,f1c6eed066f24cbdb376b910fce29ed4,ORDERS,"ITEM, TRANSACTION","Orders are requests made by customers to buy or sell assets or securities through a broker. These requests must adhere to established restrictions, which may include regulatory compliance and other operational guidelines. Additionally, orders can be subject to rejection if they do not meet these compliance requirements, ensuring that all transactions align with the necessary legal and regulatory frameworks.",46,,['ab9485075471db253a74760064417008' 'fe10f1da40f290a2edd80ea6fab3ece3'],"[ 0.03558546 -0.00214084  0.00580702 ... -0.02676046  0.00220922
  0.01521183]"
47,83a6cb03df6b41d8ad6ee5f6fef5f024,TRADING ACTIVITIES,"ACTIVITY, PROCESS","Trading activities refer to the actions taken by customers and brokers in buying and selling securities or assets, which must comply with relevant laws and regulations.",47,,['fe10f1da40f290a2edd80ea6fab3ece3'],"[ 0.00913438  0.02620535  0.04495322 ... -0.00434065 -0.00543688
  0.02503882]"
48,147c038aef3e4422acbbc5f7938c4ab8,PENALTIES,"REGULATION, CONSEQUENCE","Penalties are consequences imposed by the competent authority for violations of trading regulations, which may include restrictions on order registration.",48,,['fe10f1da40f290a2edd80ea6fab3ece3'],"[ 0.0020742   0.01312191  0.07748398 ... -0.0210892   0.00782607
  0.01112126]"
49,b7702b90c7f24190b864e8c6e64612a5,COMPETENT AUTHORITY,"ORGANIZATION, GOVERNMENT",The competent authority is the regulatory body that oversees trading activities and enforces compliance with laws and regulations.,49,,['fe10f1da40f290a2edd80ea6fab3ece3'],"[ 0.03320249 -0.00639676  0.02124016 ... -0.02015063  0.00877238
  0.01272612]"
50,de6fa24480894518ab3cbcb66f739266,CUSTOMERS,"PERSON, GROUP","Customers are individuals or entities that participate in trading activities, relying on brokers and trading systems to manage their information. They engage with brokers to access trading services, and their experiences are significantly influenced by the conditions and procedures established by these brokers. This relationship underscores the importance of regulatory policies that ensure customer interests are protected and that their voices are considered in the decision-making processes related to trading practices.",50,,['8ae14296aaa66cf00b9eba6ff886eebf' 'd5209d1b5fcc8847eb4c290b676e0ec1'],"[ 0.04831456 -0.01264593  0.02576461 ... -0.03926149 -0.02012713
  0.02489004]"
51,6fae5ee1a831468aa585a1ea09095998,EXCHANGE,"GROUP, ENTITY","The Exchange is a regulatory body that plays a crucial role in the financial industry by evaluating and approving vendors that provide back-office systems. It ensures that these vendors meet specific criteria and standards necessary for compliance within the securities market. Additionally, the Exchange sets criteria for vendors offering services to brokers, including the Broker Back Office Application, thereby overseeing the compliance of these systems. Beyond its regulatory functions, the Exchange also operates as a marketplace where trading occurs, maintaining records of trading incidents and facilitating communication with its members. This multifaceted role underscores the Exchange's importance in ensuring the integrity and efficiency of financial transactions and services.",51,,"['79ed389b3a9d421157159c16f473cfe4' '8ae14296aaa66cf00b9eba6ff886eebf'
 '8d3b57f721b83b8bed0705fa8c9fe0f0' 'da37d0f63d28537a8ff6f162d4802b88']","[-0.02721625 -0.01844544  0.02851469 ... -0.01614135 -0.02736901
  0.04053159]"
52,ef32c4b208d041cc856f6837915dc1b0,TRADING SYSTEMS,"SYSTEM, PLATFORM","Trading systems are the platforms through which trades are executed and managed, requiring oversight and access control.",52,,['d5209d1b5fcc8847eb4c290b676e0ec1'],"[-0.00059987  0.01946291  0.00316156 ...  0.00282044  0.02656989
  0.02271447]"
53,07b2425216bd4f0aa4e079827cb48ef5,CEO,"PERSON, ROLE","The CEO is the chief executive officer of the broker or broker/dealer, responsible for overall management and decision-making.",53,,['d5209d1b5fcc8847eb4c290b676e0ec1'],"[ 0.05283111 -0.0326067   0.02437356 ... -0.00637579  0.02448218
  0.03304116]"
